Read times - Current graph;Current(A) - Current graph
0;0,027
1;0,027
2;0,027
3;0,028
4;0,027
5;0,027
6;0,027
7;0,027
8;0,031
9;0,029
10;0,029
11;0,028
12;0,028
13;0,029
14;0,093
15;0,091
16;0,092
17;0,037
18;0,029
19;0,042
20;0,037
21;0,055
22;0,029
23;0,089
24;0,03
25;0,06
26;0,01
27;0,01
