Read times - Current graph;Current(A) - Current graph
0;0,028
1;0,027
2;0,028
3;0,027
4;0,027
5;0,028
6;0,031
7;0,027
8;0,028
9;0,027
10;0,027
11;0,027
12;0,029
13;0,029
14;0,029
15;0,029
16;0,029
17;0,029
18;0,029
19;0,029
20;0,029
21;0,029
22;0,029
23;0,029
24;0,028
25;0,03
26;0,027
27;0,027
28;0,027
29;0,091
30;0,091
31;0,075
32;0,032
33;0,053
34;0,053
35;0,048
36;0,058
37;0,031
38;0,035
39;0,029
40;0,053
41;0,029
42;0,073
43;0,053
44;0,052
45;0,038
46;0,067
47;0,009
