Read times - Current graph;Current(A) - Current graph
0;0,027
1;0,027
2;0,027
3;0,027
4;0,027
5;0,027
6;0,028
7;0,027
8;0,029
9;0,028
10;0,028
11;0,028
12;0,028
13;0,029
14;0,009
15;0,009
