Read times - Current graph;Current(A) - Current graph
0;0,009
1;0,01
2;0,01
3;0,009
4;0,009
5;0,009
6;0,009
7;0,009
8;0,009
9;0,009
10;0,009
11;0,009
12;0,01
13;0,01
14;0,009
15;0,01
16;0,01
17;0,01
18;0,01
19;0,01
20;0,009
21;0,01
22;0,01
23;0,01
24;0,009
25;0,009
26;0,009
27;0,01
28;0,01
29;0,01
30;0,01
31;0,01
32;0,01
33;0,01
34;0,01
35;0,009
36;0,009
37;0,009
38;0,01
39;0,009
40;0,009
41;0,01
42;0,009
43;0,01
44;0,01
45;0,01
46;0,01
47;0,01
48;0,01
49;0,01
50;0,01
51;0,01
