Read times - Current graph;Current(A) - Current graph
0;0,067
1;0,089
2;0,077
3;0,076
4;0,077
5;0,077
6;0,077
7;0,077
8;0,077
9;0,077
10;0,077
11;0,077
12;0,077
13;0,077
14;0,076
15;0,08
16;0,077
17;0,076
18;0,076
19;0,079
20;0,077
21;0,077
22;0,076
23;0,088
24;0,077
25;0,08
26;0,077
27;0,077
28;0,076
29;0,081
30;0,077
31;0,077
32;0,077
33;0,077
